Date,Product_ID,Product_Name,Category,Base_Price,Discount_%,Selling_Price,Competitor_Price,Units_Sold,Revenue,Region,Customer_Segment,Stock_Level,Cost,Gross_Profit_per_unit,Gross_Profit_Total,Margin_%,Price_Delta_vs_Competitor,Price_Elasticity_Score,Month,Month_Number,Year,MonthYear
2024-03-20,P101,Car Battery,Automotive,239.99,20,191.99,193.41,3.0,575.97,West,Retail,197,166.82,25.17,75.51,13.11,-1.42,0.0112,Mar,3,2024,Mar 2024
2024-10-08,P106,Olive Oil,Grocery,149.33,15,126.93,143.71,4.0,507.72,South,Retail,232,83.62,43.31,173.24,34.12,-16.78,0.0111,Oct,10,2024,Oct 2024
2023-01-08,P105,Brake Pads,Automotive,148.52,10,133.67,146.65,4.0,534.68,East,Retail,267,96.73,36.94,147.76,27.64,-12.98,0.0115,Jan,1,2023,Jan 2023
2024-06-16,P101,Car Battery,Automotive,198.69,20,158.95,173.6,5.0,794.75,West,Retail,273,111.88,47.07,235.35,29.61,-14.65,0.0112,Jun,6,2024,Jun 2024
2023-07-27,P104,Bluetooth Speaker,Electronics,156.66,25,117.5,107.87,1.0,117.5,East,Retail,184,103.9,13.6,13.6,11.57,9.63,0.0206,Jul,7,2023,Jul 2023
2024-02-11,P101,Car Battery,Automotive,280.67,5,266.64,296.28,8.0,2133.12,East,Retail,314,165.14,101.5,812.0,38.07,-29.64,0.0112,Feb,2,2024,Feb 2024
2024-04-06,P104,Bluetooth Speaker,Electronics,192.69,5,183.06,166.19,3.0,549.18,North,Retail,227,106.35,76.71,230.13,41.9,16.87,0.0206,Apr,4,2024,Apr 2024
2023-10-23,P106,Olive Oil,Grocery,126.93,20,101.54,109.45,7.0,710.78,North,Wholesale,328,83.87,17.67,123.69,17.4,-7.91,0.0111,Oct,10,2023,Oct 2023
2023-10-23,P103,T-Shirt,Apparel,215.67,5,204.89,219.6,4.0,819.56,West,Wholesale,193,143.72,61.17,244.68,29.86,-14.71,0.003,Oct,10,2023,Oct 2023
2023-02-15,P101,Car Battery,Automotive,69.6,10,62.64,64.28,6.0,375.84,East,Retail,78,40.6,22.04,132.24,35.19,-1.64,0.0112,Feb,2,2023,Feb 2023
2023-04-26,P106,Olive Oil,Grocery,107.96,10,97.16,106.63,3.0,291.48,West,Retail,122,68.87,28.29,84.87,29.12,-9.47,0.0111,Apr,4,2023,Apr 2023
2023-02-23,P101,Car Battery,Automotive,268.82,5,255.38,230.84,10.0,2553.8,West,Wholesale,185,185.55,69.83,698.3,27.34,24.54,0.0112,Feb,2,2023,Feb 2023
2024-02-21,P107,Jeans,Apparel,158.21,25,118.66,124.63,3.0,355.98,North,Retail,77,87.76,30.9,92.7,26.04,-5.97,0.0022,Feb,2,2024,Feb 2024
2023-12-05,P101,Car Battery,Automotive,239.4,0,239.4,252.22,8.0,1915.2,South,Wholesale,225,134.95,104.45,835.6,43.63,-12.82,0.0112,Dec,12,2023,Dec 2023
2024-05-12,P101,Car Battery,Automotive,193.15,5,183.49,199.43,8.0,1467.92,South,Retail,226,109.64,73.85,590.8,40.25,-15.94,0.0112,May,5,2024,May 2024
2023-10-23,P100,Wireless Headphones,Electronics,200.6,15,170.51,192.2,1.0,170.51,West,Retail,204,135.39,35.12,35.12,20.6,-21.69,0.0117,Oct,10,2023,Oct 2023
2024-08-21,P100,Wireless Headphones,Electronics,210.82,20,168.66,173.18,1.0,168.66,West,Wholesale,250,127.1,41.56,41.56,24.64,-4.52,0.0117,Aug,8,2024,Aug 2024
2024-04-09,P105,Brake Pads,Automotive,195.69,0,195.69,184.15,1.0,195.69,East,Wholesale,210,134.86,60.83,60.83,31.08,11.54,0.0115,Apr,4,2024,Apr 2024
2024-06-26,P100,Wireless Headphones,Electronics,208.18,15,176.95,183.58,1.0,176.95,West,Retail,162,149.97,26.98,26.98,15.25,-6.63,0.0117,Jun,6,2024,Jun 2024
2024-05-21,P105,Brake Pads,Automotive,196.23,25,147.17,164.72,6.0,883.02,South,Retail,195,143.42,3.75,22.5,2.55,-17.55,0.0115,May,5,2024,May 2024
2024-12-23,P104,Bluetooth Speaker,Electronics,231.05,20,184.84,181.16,2.0,369.68,East,Retail,311,130.03,54.81,109.62,29.65,3.68,0.0206,Dec,12,2024,Dec 2024
2024-05-23,P105,Brake Pads,Automotive,145.44,25,109.08,113.27,2.0,218.16,West,Retail,198,83.12,25.96,51.92,23.8,-4.19,0.0115,May,5,2024,May 2024
2024-03-12,P106,Olive Oil,Grocery,110.2,0,110.2,124.03,4.0,440.8,South,Retail,105,77.05,33.15,132.6,30.08,-13.83,0.0111,Mar,3,2024,Mar 2024
2024-01-25,P103,T-Shirt,Apparel,160.16,5,152.15,154.1,2.0,304.3,West,Wholesale,111,119.07,33.08,66.16,21.74,-1.95,0.003,Jan,1,2024,Jan 2024
2024-08-12,P102,Organic Rice,Grocery,115.26,20,92.21,102.27,10.0,922.1,West,Retail,195,66.48,25.73,257.3,27.9,-10.06,0.0121,Aug,8,2024,Aug 2024
2024-06-14,P104,Bluetooth Speaker,Electronics,136.47,5,129.65,149.03,3.0,388.95,East,Retail,195,82.47,47.18,141.54,36.39,-19.38,0.0206,Jun,6,2024,Jun 2024
2024-10-25,P101,Car Battery,Automotive,163.82,5,155.63,159.63,2.0,311.26,North,Retail,220,90.84,64.79,129.58,41.63,-4.0,0.0112,Oct,10,2024,Oct 2024
2023-08-18,P107,Jeans,Apparel,246.3,15,209.36,226.44,8.0,1674.88,East,Wholesale,215,175.8,33.56,268.48,16.03,-17.08,0.0022,Aug,8,2023,Aug 2023
2024-02-16,P107,Jeans,Apparel,58.97,20,47.18,51.12,4.0,188.72,South,Retail,134,39.39,7.79,31.16,16.51,-3.94,0.0022,Feb,2,2024,Feb 2024
2024-09-26,P107,Jeans,Apparel,239.46,15,203.54,210.66,7.0,1424.78,North,Retail,195,173.59,29.95,209.65,14.71,-7.12,0.0022,Sep,9,2024,Sep 2024
2024-05-26,P105,Brake Pads,Automotive,175.98,15,149.58,165.32,11.0,1645.38,East,Wholesale,100,106.07,43.51,478.61,29.09,-15.74,0.0115,May,5,2024,May 2024
2023-08-09,P103,T-Shirt,Apparel,138.05,10,124.25,136.16,8.0,994.0,South,Retail,280,101.58,22.67,181.36,18.25,-11.91,0.003,Aug,8,2023,Aug 2023
2024-11-07,P101,Car Battery,Automotive,180.54,10,162.49,164.23,3.0,487.47,North,Retail,222,128.11,34.38,103.14,21.16,-1.74,0.0112,Nov,11,2024,Nov 2024
2023-08-22,P102,Organic Rice,Grocery,40.73,5,38.69,41.23,6.0,232.14,South,Retail,290,24.9,13.79,82.74,35.64,-2.54,0.0121,Aug,8,2023,Aug 2023
2024-10-21,P100,Wireless Headphones,Electronics,176.34,10,158.71,175.37,1.0,158.71,West,Wholesale,91,99.22,59.49,59.49,37.48,-16.66,0.0117,Oct,10,2024,Oct 2024
2023-05-09,P100,Wireless Headphones,Electronics,230.01,5,218.51,219.88,2.0,218.51,North,Wholesale,116,143.95,74.56,149.12,34.12,-1.37,0.0117,May,5,2023,May 2023
2023-09-07,P101,Car Battery,Automotive,153.82,15,130.75,140.15,3.0,392.25,East,Retail,138,105.49,25.26,75.78,19.32,-9.4,0.0112,Sep,9,2023,Sep 2023
2024-08-07,P105,Brake Pads,Automotive,152.36,15,129.51,135.39,2.0,259.02,East,Retail,234,109.29,20.22,40.44,15.61,-5.88,0.0115,Aug,8,2024,Aug 2024
2023-03-21,P103,T-Shirt,Apparel,137.06,0,137.06,129.54,3.0,411.18,North,Retail,167,96.24,40.82,122.46,29.78,7.52,0.003,Mar,3,2023,Mar 2023
2023-05-05,P104,Bluetooth Speaker,Electronics,221.6,10,199.44,222.81,1.0,199.44,East,Wholesale,257,143.85,55.59,55.59,27.87,-23.37,0.0206,May,5,2023,May 2023
2023-01-03,P106,Olive Oil,Grocery,125.65,10,113.08,129.56,4.0,452.32,West,Retail,123,83.62,29.46,117.84,26.05,-16.48,0.0111,Jan,1,2023,Jan 2023
2024-07-11,P102,Organic Rice,Grocery,49.75,25,37.31,34.97,2.0,74.62,East,Retail,214,29.95,7.36,14.72,19.73,2.34,0.0121,Jul,7,2024,Jul 2024
2023-01-14,P102,Organic Rice,Grocery,102.52,20,82.02,80.04,5.0,410.1,South,Retail,139,61.41,20.61,103.05,25.13,1.98,0.0121,Jan,1,2023,Jan 2023
2023-05-01,P105,Brake Pads,Automotive,80.62,30,56.43,54.72,4.0,225.72,North,Retail,29,58.77,-2.34,-9.36,-4.15,1.71,0.0115,May,5,2023,May 2023
2024-05-13,P103,T-Shirt,Apparel,223.46,15,189.94,204.08,6.0,1139.64,North,Wholesale,306,131.0,58.94,353.64,31.03,-14.14,0.003,May,5,2024,May 2024
2024-10-11,P104,Bluetooth Speaker,Electronics,277.17,20,221.74,252.02,1.0,221.74,North,Retail,0,207.66,14.08,14.08,6.35,-30.28,0.0206,Oct,10,2024,Oct 2024
2024-04-21,P107,Jeans,Apparel,156.35,15,132.9,127.77,7.0,930.3,North,Retail,165,96.58,36.32,254.24,27.33,5.13,0.0022,Apr,4,2024,Apr 2024
2023-04-17,P106,Olive Oil,Grocery,111.85,20,89.48,98.53,6.0,536.88,North,Retail,209,68.15,21.33,127.98,23.84,-9.05,0.0111,Apr,4,2023,Apr 2023
2023-04-19,P106,Olive Oil,Grocery,53.76,15,45.7,50.66,9.0,411.3,West,Retail,276,29.85,15.85,142.65,34.68,-4.96,0.0111,Apr,4,2023,Apr 2023
2024-03-15,P105,Brake Pads,Automotive,233.07,15,198.11,208.78,4.0,792.44,West,Retail,156,148.7,49.41,197.64,24.94,-10.67,0.0115,Mar,3,2024,Mar 2024
2023-10-08,P102,Organic Rice,Grocery,81.8,15,69.53,69.41,3.0,208.59,North,Retail,395,46.52,23.01,69.03,33.09,0.12,0.0121,Oct,10,2023,Oct 2023
2023-08-07,P101,Car Battery,Automotive,198.75,5,188.81,193.03,3.0,566.43,South,Retail,201,140.17,48.64,145.92,25.76,-4.22,0.0112,Aug,8,2023,Aug 2023
2024-05-29,P101,Car Battery,Automotive,282.21,15,239.88,223.0,5.0,1199.4,West,Retail,172,207.05,32.83,164.15,13.69,16.88,0.0112,May,5,2024,May 2024
2024-03-11,P104,Bluetooth Speaker,Electronics,154.62,5,146.89,165.9,2.0,293.78,North,Wholesale,102,101.75,45.14,90.28,30.73,-19.01,0.0206,Mar,3,2024,Mar 2024
2024-01-24,P100,Wireless Headphones,Electronics,191.07,20,152.86,159.75,1.0,152.86,South,Retail,174,115.51,37.35,37.35,24.43,-6.89,0.0117,Jan,1,2024,Jan 2024
2023-10-14,P107,Jeans,Apparel,215.46,20,172.37,168.42,6.0,1034.22,South,Retail,169,132.17,40.2,241.2,23.32,3.95,0.0022,Oct,10,2023,Oct 2023
2024-09-27,P101,Car Battery,Automotive,153.22,25,114.92,128.0,6.0,689.52,West,Wholesale,79,89.42,25.5,153.0,22.19,-13.08,0.0112,Sep,9,2024,Sep 2024
2024-01-23,P105,Brake Pads,Automotive,154.8,30,108.36,112.64,2.0,216.72,East,Wholesale,147,87.43,20.93,41.86,19.32,-4.28,0.0115,Jan,1,2024,Jan 2024
2023-10-09,P103,T-Shirt,Apparel,233.71,10,210.34,220.18,3.0,631.02,North,Retail,162,145.84,64.5,193.5,30.66,-9.84,0.003,Oct,10,2023,Oct 2023
2023-12-05,P102,Organic Rice,Grocery,126.22,15,107.29,110.69,3.0,321.87,South,Retail,172,90.71,16.58,49.74,15.45,-3.4,0.0121,Dec,12,2023,Dec 2023
2024-03-14,P100,Wireless Headphones,Electronics,204.42,0,204.42,202.61,6.0,1226.52,West,Retail,152,138.39,66.03,396.18,32.3,1.81,0.0117,Mar,3,2024,Mar 2024
2024-01-24,P103,T-Shirt,Apparel,222.67,5,211.54,204.86,6.0,1269.24,North,Retail,370,143.46,68.08,408.48,32.18,6.68,0.003,Jan,1,2024,Jan 2024
2024-02-19,P105,Brake Pads,Automotive,155.45,25,116.59,118.31,4.0,466.36,South,Retail,268,96.74,19.85,79.4,17.03,-1.72,0.0115,Feb,2,2024,Feb 2024
2023-02-25,P103,T-Shirt,Apparel,296.74,10,267.07,284.96,5.0,1335.35,North,Retail,86,217.15,49.92,249.6,18.69,-17.89,0.003,Feb,2,2023,Feb 2023
2024-08-17,P106,Olive Oil,Grocery,0.1,5,0.1,0.1,2.0,0.2,East,Retail,16,0.06,0.04,0.08,40.0,0.0,0.0111,Aug,8,2024,Aug 2024
2023-12-12,P107,Jeans,Apparel,222.07,25,166.55,163.64,2.0,333.1,West,Retail,262,126.74,39.81,79.62,23.9,2.91,0.0022,Dec,12,2023,Dec 2023
2023-03-17,P102,Organic Rice,Grocery,12.7,5,12.06,10.89,4.0,48.24,West,Retail,338,7.55,4.51,18.04,37.4,1.17,0.0121,Mar,3,2023,Mar 2023
2024-10-01,P102,Organic Rice,Grocery,146.78,15,124.76,125.04,4.0,499.04,East,Retail,254,110.0,14.76,59.04,11.83,-0.28,0.0121,Oct,10,2024,Oct 2024
2024-01-06,P101,Car Battery,Automotive,205.37,0,205.37,219.4,5.0,821.48,East,Retail,86,120.78,84.59,422.95,41.19,-14.03,0.0112,Jan,1,2024,Jan 2024
2023-08-27,P107,Jeans,Apparel,310.62,20,248.5,271.7,2.0,497.0,North,Retail,352,206.57,41.93,83.86,16.87,-23.2,0.0022,Aug,8,2023,Aug 2023
2024-01-02,P100,Wireless Headphones,Electronics,170.38,0,170.38,190.38,1.0,170.38,West,Wholesale,229,95.17,75.21,75.21,44.14,-20.0,0.0117,Jan,1,2024,Jan 2024
2023-08-08,P101,Car Battery,Automotive,192.75,20,154.2,165.37,4.0,616.8,West,Retail,122,108.18,46.02,184.08,29.84,-11.17,0.0112,Aug,8,2023,Aug 2023
2023-04-08,P107,Jeans,Apparel,170.69,15,145.09,156.12,9.0,1305.81,West,Retail,249,122.7,22.39,201.51,15.43,-11.03,0.0022,Apr,4,2023,Apr 2023
2024-01-26,P105,Brake Pads,Automotive,277.4,30,194.18,211.63,5.0,970.9,West,Retail,96,171.66,22.52,112.6,11.6,-17.45,0.0115,Jan,1,2024,Jan 2024
2023-06-28,P107,Jeans,Apparel,166.08,10,149.47,155.56,5.0,747.35,West,Retail,209,94.8,54.67,273.35,36.58,-6.09,0.0022,Jun,6,2023,Jun 2023
2023-06-24,P106,Olive Oil,Grocery,125.91,15,107.02,97.08,9.0,963.18,West,Wholesale,149,77.09,29.93,269.37,27.97,9.94,0.0111,Jun,6,2023,Jun 2023
2024-09-03,P101,Car Battery,Automotive,156.19,15,132.76,127.39,9.0,1194.84,West,Wholesale,234,108.76,24.0,216.0,18.08,5.37,0.0112,Sep,9,2024,Sep 2024
2023-06-03,P106,Olive Oil,Grocery,92.36,25,69.27,73.27,4.0,277.08,West,Wholesale,222,57.62,11.65,46.6,16.82,-4.0,0.0111,Jun,6,2023,Jun 2023
2024-07-19,P101,Car Battery,Automotive,272.84,20,218.27,244.7,1.0,218.27,South,Wholesale,194,170.06,48.21,48.21,22.09,-26.43,0.0112,Jul,7,2024,Jul 2024
2024-07-22,P101,Car Battery,Automotive,106.35,15,90.4,87.06,6.0,542.4,North,Wholesale,247,59.36,31.04,186.24,34.34,3.34,0.0112,Jul,7,2024,Jul 2024
2024-04-18,P106,Olive Oil,Grocery,107.06,0,107.06,119.83,4.0,428.24,North,Retail,184,75.65,31.41,125.64,29.34,-12.77,0.0111,Apr,4,2024,Apr 2024
2023-10-27,P103,T-Shirt,Apparel,184.9,15,157.16,156.62,3.0,471.48,West,Retail,93,135.89,21.27,63.81,13.53,0.54,0.003,Oct,10,2023,Oct 2023
2023-01-16,P104,Bluetooth Speaker,Electronics,195.9,5,186.1,168.45,5.0,930.5,East,Wholesale,117,123.43,62.67,313.35,33.68,17.65,0.0206,Jan,1,2023,Jan 2023
2024-06-01,P102,Organic Rice,Grocery,58.82,5,55.88,60.56,5.0,279.4,West,Retail,171,35.92,19.96,99.8,35.72,-4.68,0.0121,Jun,6,2024,Jun 2024
2023-04-23,P105,Brake Pads,Automotive,200.5,10,180.45,187.79,3.0,541.35,North,Wholesale,211,130.42,50.03,150.09,27.73,-7.34,0.0115,Apr,4,2023,Apr 2023
2024-10-11,P101,Car Battery,Automotive,188.99,0,188.99,205.62,7.0,1322.93,East,Retail,107,106.82,82.17,575.19,43.48,-16.63,0.0112,Oct,10,2024,Oct 2024
2023-05-03,P103,T-Shirt,Apparel,116.76,15,99.25,90.43,9.0,893.25,West,Retail,298,74.73,24.52,220.68,24.71,8.82,0.003,May,5,2023,May 2023
2024-11-21,P107,Jeans,Apparel,195.52,5,185.74,169.12,10.0,1857.4,West,Retail,295,144.16,41.58,415.8,22.39,16.62,0.0022,Nov,11,2024,Nov 2024
2023-07-28,P103,T-Shirt,Apparel,219.51,15,186.58,206.27,7.0,1306.06,South,Retail,188,162.84,23.74,166.18,12.72,-19.69,0.003,Jul,7,2023,Jul 2023
2024-11-29,P103,T-Shirt,Apparel,182.76,5,173.62,190.52,10.0,1736.2,West,Retail,206,117.52,56.1,561.0,32.31,-16.9,0.003,Nov,11,2024,Nov 2024
2024-12-18,P102,Organic Rice,Grocery,129.9,30,90.93,102.54,6.0,545.58,West,Wholesale,322,93.42,-2.49,-14.94,-2.74,-11.61,0.0121,Dec,12,2024,Dec 2024
2024-06-17,P107,Jeans,Apparel,181.26,30,126.88,142.51,6.0,761.28,North,Retail,17,132.8,-5.92,-35.52,-4.67,-15.63,0.0022,Jun,6,2024,Jun 2024
